field.Element:Text;field.Attribute:name;Attribute:type;TargetTrialID
"Conquest update:
This region is currently under Bastokan control.≺Prompt≻
";text;DialogTableEntry;
34;index;DialogTableEntry;
"Conquest update:
This region is currently under Windurstian control.≺Prompt≻
";text;DialogTableEntry;
35;index;DialogTableEntry;
"Conquest update:
This region is currently under beastman control.
You cannot obtain crystals in this region.≺Prompt≻
";text;DialogTableEntry;
36;index;DialogTableEntry;
"All three nations are at a deadlock.≺Prompt≻
";text;DialogTableEntry;
37;index;DialogTableEntry;
"The beastmen are on the rise.≺Prompt≻
";text;DialogTableEntry;
38;index;DialogTableEntry;
"Regional influence:
San d'Oria - Dominant≺Prompt≻
";text;DialogTableEntry;
39;index;DialogTableEntry;
"Regional influence:
San d'Oria - Major≺Prompt≻
";text;DialogTableEntry;
40;index;DialogTableEntry;
"Regional influence:
San d'Oria - Minor≺Prompt≻
";text;DialogTableEntry;
41;index;DialogTableEntry;
"Regional influence:
San d'Oria - Minimal≺Prompt≻
";text;DialogTableEntry;
42;index;DialogTableEntry;
"Bastok - Dominant≺Prompt≻
";text;DialogTableEntry;
43;index;DialogTableEntry;
"Bastok - Major≺Prompt≻
";text;DialogTableEntry;
44;index;DialogTableEntry;
"Bastok - Minor≺Prompt≻
";text;DialogTableEntry;
45;index;DialogTableEntry;
"Bastok - Minimal≺Prompt≻
";text;DialogTableEntry;
46;index;DialogTableEntry;
"Windurst - Dominant≺Prompt≻
";text;DialogTableEntry;
47;index;DialogTableEntry;
"Windurst - Major≺Prompt≻
";text;DialogTableEntry;
48;index;DialogTableEntry;
"Windurst - Minor≺Prompt≻
";text;DialogTableEntry;
49;index;DialogTableEntry;
"Windurst - Minimal≺Prompt≻
";text;DialogTableEntry;
50;index;DialogTableEntry;
"Bastok and Windurst have formed an alliance.≺Prompt≻
";text;DialogTableEntry;
51;index;DialogTableEntry;
"San d'Oria and Windurst have formed an alliance.≺Prompt≻
";text;DialogTableEntry;
52;index;DialogTableEntry;
"San d'Oria and Bastok have formed an alliance.≺Prompt≻
";text;DialogTableEntry;
53;index;DialogTableEntry;
"Bastok and Windurst are currently allies.≺Prompt≻
";text;DialogTableEntry;
54;index;DialogTableEntry;
"San d'Oria and Windurst are currently allies.≺Prompt≻
";text;DialogTableEntry;
55;index;DialogTableEntry;
"San d'Oria and Bastok are currently allies.≺Prompt≻
";text;DialogTableEntry;
56;index;DialogTableEntry;
"所属国：≺Numeric Parameter 0≻
判定：≺Numeric Parameter 1≻≺Prompt≻
";text;DialogTableEntry;
57;index;DialogTableEntry;
"装備チェック：≺Numeric Parameter 0≻
アイテム：≺Possible Special Code: 01≻≺Possible Special Code: 05≻#ｂ≺BAD CHAR: 80≻≺BAD CHAR: 80≻
引くポイント：≺Numeric Parameter 3≻≺Prompt≻
";text;DialogTableEntry;
58;index;DialogTableEntry;
"ITEM_ID:≺Numeric Parameter 2≻
希望商品番号:≺Numeric Parameter 3≻≺Prompt≻
";text;DialogTableEntry;
59;index;DialogTableEntry;
"希望商品番号:≺Numeric Parameter 0≻
引くポイント:≺Numeric Parameter 1≻≺Prompt≻
";text;DialogTableEntry;
60;index;DialogTableEntry;
"≺Multiple Choice (Parameter 0)≻[サンドリア/バストゥーク/ウィンダス]の状況:≺Multiple Choice (Parameter 0)≻[劣勢/やや劣勢/やや優勢/優勢/膠着]
武器の値段:≺Numeric Parameter 2≻、入れるポイント:≺Numeric Parameter 3≻≺Prompt≻
";text;DialogTableEntry;
61;index;DialogTableEntry;
"The beastmen are gaining power.≺Prompt≻
";text;DialogTableEntry;
62;index;DialogTableEntry;
"San d'Oria's regional control is now 10% closer to the first place country's!≺Prompt≻
";text;DialogTableEntry;
63;index;DialogTableEntry;
"Bastok's regional control is now 10% closer to the first place country's!≺Prompt≻
";text;DialogTableEntry;
64;index;DialogTableEntry;
"Windurst's regional control are now 10% closer to the first place country's!≺Prompt≻
";text;DialogTableEntry;
65;index;DialogTableEntry;
"San d'Oria's region points have increased!≺Prompt≻
";text;DialogTableEntry;
66;index;DialogTableEntry;
"Bastok's region points have increased!≺Prompt≻
";text;DialogTableEntry;
67;index;DialogTableEntry;
"Windurst's region points have increased!≺Prompt≻
";text;DialogTableEntry;
68;index;DialogTableEntry;
"San d'Orian E.F. defeats beastmen hordes... Maintain current momentum.≺Prompt≻
";text;DialogTableEntry;
69;index;DialogTableEntry;
"Bastokan E.F. defeats beastmen hordes...Maintain current momentum.≺Prompt≻
";text;DialogTableEntry;
70;index;DialogTableEntry;
"Windurstian E.F. defeats beastmen hordes...Maintain current momentum.≺Prompt≻
";text;DialogTableEntry;
71;index;DialogTableEntry;
"A San d'Orian Expeditionary Force has been dispatched to this area.≺Prompt≻
";text;DialogTableEntry;
72;index;DialogTableEntry;
"A Bastokan Expeditionary Force has been dispatched to this area.≺Prompt≻
";text;DialogTableEntry;
73;index;DialogTableEntry;
"A Windurstian Expeditionary Force has been dispatched to this area.≺Prompt≻
";text;DialogTableEntry;
74;index;DialogTableEntry;
"E.F. Influence: Great...Region Status: Dominant...Maintain current level of combat.≺Prompt≻
";text;DialogTableEntry;
75;index;DialogTableEntry;
"E.F. Influence: Fair...Region Status: Major...Maintain momentum.≺Prompt≻
";text;DialogTableEntry;
76;index;DialogTableEntry;
"E.F. Influence: Poor...Region Status: Minor...Increase efforts.≺Prompt≻
";text;DialogTableEntry;
77;index;DialogTableEntry;
"E.F. Influence: Minimal...Region Status: Minimal...Increase efforts tenfold.≺Prompt≻
";text;DialogTableEntry;
78;index;DialogTableEntry;
"E.F. Influence: None...Region Status: Under beastman control...Keep losses to minimum.≺Prompt≻
";text;DialogTableEntry;
79;index;DialogTableEntry;
"There was a curse on the beastmen's banner!≺Prompt≻
";text;DialogTableEntry;
80;index;DialogTableEntry;
"The curse of the beastmen's banner has been lifted!≺Prompt≻
";text;DialogTableEntry;
81;index;DialogTableEntry;
"There is a beastmen's banner.≺Prompt≻
";text;DialogTableEntry;
82;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
83;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
84;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
85;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
86;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
87;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
88;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
89;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
90;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
91;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
92;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
93;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
94;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
95;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
96;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
97;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
98;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
99;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
100;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
101;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
102;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
103;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
104;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
105;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
106;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
107;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
108;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
109;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
110;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
111;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
112;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
113;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
114;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
115;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
116;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
117;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
118;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
119;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
120;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
121;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
122;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
123;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
124;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
125;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
126;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
127;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
128;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
129;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
130;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
131;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
132;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
133;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
134;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
135;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
136;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
137;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
138;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
139;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
140;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
141;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
142;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
143;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
144;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
145;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
146;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
147;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
148;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
149;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
150;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
151;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
152;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
153;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
154;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
155;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
156;index;DialogTableEntry;
"　≺Prompt≻
";text;DialogTableEntry;
157;index;DialogTableEntry;
"遠征先リージョンナンバー　≺Numeric Parameter 0≻
現在のリージョンナンバー　≺Numeric Parameter 1≻≺Prompt≻
";text;DialogTableEntry;
158;index;DialogTableEntry;
"増えたポイント　≺Numeric Parameter 0≻
増えたカウント　≺Numeric Parameter 1≻≺Prompt≻
";text;DialogTableEntry;
159;index;DialogTableEntry;
"≺Possible Special Code: 1F≻｡A mog tablet has been discovered in ≺Multiple Choice (Parameter 0)≻[West Ronfaure/East Ronfaure/the La Theine Plateau/the Valkurm Dunes/Jugner Forest/the Batallia Downs/North Gustaberg/South Gustaberg/the Konschtat Highlands/the Pashhow Marshlands/the Rolanberry Fields/Beaucedine Glacier/Xarcabard/West Sarutabaruta/East Sarutabaruta/the Tahrongi Canyon/the Buburimu Peninsula/the Meriphataud Mountains/the Sauromugue Champaign/Qufim Island/Behemoth's Dominion/Cape Teriggan/the Eastern Altepa Desert/the Sanctuary of Zi'Tah/Ro'Maeve/the Yuhtunga Jungle/the Yhoator Jungle/the Western Altepa Desert/the Valley of Sorrows]!≺Possible Special Code: 00≻
";text;DialogTableEntry;
160;index;DialogTableEntry;
"≺Possible Special Code: 1F≻｡The complete set of mog tablets has been restored to Ru'Lude Gardens!
The ancient magic of King Kupofried permeates the air to instill adventurers in this area with its Super Kupowers!≺Possible Special Code: 00≻
";text;DialogTableEntry;
161;index;DialogTableEntry;
"≺Possible Special Code: 1F≻｡The strength of the ancient moogle magic has weakened, and the tablets have been scattered to the winds once more.
You can feel your Super Kupowers begin to fade away...≺Possible Special Code: 00≻
";text;DialogTableEntry;
162;index;DialogTableEntry;
"≺Possible Special Code: 1F≻｡This area is currently affected by the Super Kupower: “Thrifty Transit”!≺Possible Special Code: 00≻
";text;DialogTableEntry;
163;index;DialogTableEntry;
"≺Possible Special Code: 1F≻｡This area is currently affected by the Super Kupower: “Martial Master”!≺Possible Special Code: 00≻
";text;DialogTableEntry;
164;index;DialogTableEntry;
"≺Possible Special Code: 1F≻｡This area is currently affected by the Super Kupower: “Blood of the Vampyr”!≺Possible Special Code: 00≻
";text;DialogTableEntry;
165;index;DialogTableEntry;
"≺Possible Special Code: 1F≻｡This area is currently affected by the Super Kupower: “Treasure Hound”!≺Possible Special Code: 00≻
";text;DialogTableEntry;
166;index;DialogTableEntry;
"≺Possible Special Code: 1F≻｡This area is currently affected by the Super Kupower: “Artisan's Advantage”!≺Possible Special Code: 00≻
";text;DialogTableEntry;
167;index;DialogTableEntry;
"≺Possible Special Code: 1F≻｡This area is currently affected by the Super Kupower: “Myriad Mystery Boxes”!≺Possible Special Code: 00≻
";text;DialogTableEntry;
168;index;DialogTableEntry;
"≺Possible Special Code: 1F≻｡This area is currently affected by the Super Kupower: “Dilatory Digestion”!≺Possible Special Code: 00≻
";text;DialogTableEntry;
169;index;DialogTableEntry;
"≺Possible Special Code: 1F≻｡This area is currently affected by the Super Kupower: “Boundary Buster”!≺Possible Special Code: 00≻
";text;DialogTableEntry;
170;index;DialogTableEntry;
"≺Possible Special Code: 1F≻｡This area is currently affected by the Super Kupower: “Bountiful Bazaar”!≺Possible Special Code: 00≻
";text;DialogTableEntry;
171;index;DialogTableEntry;
"≺Possible Special Code: 1F≻｡This area is currently affected by the Super Kupower: “Swift Shoes”!≺Possible Special Code: 00≻
";text;DialogTableEntry;
172;index;DialogTableEntry;
"≺Possible Special Code: 1F≻｡This area is currently affected by the Super Kupower: “Crystal Caboodle”!≺Possible Special Code: 00≻
";text;DialogTableEntry;
173;index;DialogTableEntry;
"≺Possible Special Code: 1F≻｡The ancient magic of King Kupofried fills the air, its glorious Super Kupowers bringing happiness and joy to the realm!
Visit the Explorer Moogle in Ru'Lude Gardens to find out more.≺Possible Special Code: 00≻
";text;DialogTableEntry;
174;index;DialogTableEntry;
"≺Possible Special Code: 1F≻｡This area is currently affected by the Super Kupower: “≺Multiple Choice (Parameter 0)≻[/Thrifty Transit/Martial Master/Blood of the Vampyr/Treasure Hound/Artisan's Advantage/Myriad Mystery Boxes/Dilatory Digestion/Boundary Buster/Bountiful Bazaar/Swift Shoes/Crystal Caboodle]”!
This area is currently affected by the Super Kupower: “≺Multiple Choice (Parameter 1)≻[/Thrifty Transit/Martial Master/Blood of the Vampyr/Treasure Hound/Artisan's Advantage/Myriad Mystery Boxes/Dilatory Digestion/Boundary Buster/Bountiful Bazaar/Swift Shoes/Crystal Caboodle]”!
This area is currently affected by the Super Kupower: “≺Multiple Choice (Parameter 2)≻[/Thrifty Transit/Martial Master/Blood of the Vampyr/Treasure Hound/Artisan's Advantage/Myriad Mystery Boxes/Dilatory Digestion/Boundary Buster/Bountiful Bazaar/Swift Shoes/Crystal Caboodle]”!≺Possible Special Code: 00≻
";text;DialogTableEntry;
175;index;DialogTableEntry;
"The synergy furnace is currently claimed.≺Prompt≻
";text;DialogTableEntry;
176;index;DialogTableEntry;
"Claim usage of the furnace?
≺Selection Dialog≻Yes.
No.≺Prompt≻
";text;DialogTableEntry;
177;index;DialogTableEntry;
"Your claim over the synergy furnace will expire in ten seconds.≺Possible Special Code: 00≻
";text;DialogTableEntry;
178;index;DialogTableEntry;
"≺Unknown Parameter (Type: 80) 1≻≺Possible Special Code: 01≻≺Possible Special Code: 05≻3≺BAD CHAR: 8280≻≺BAD CHAR: 80≻≺BAD CHAR: 80≻ set. You now have claim over the synergy furnace.
Please deposit your ingredients inside the furnace and initiate the synergy process within ≺Numeric Parameter 1≻ minute≺Singular/Plural Choice (Parameter 1)≻[/s].≺Prompt≻
";text;DialogTableEntry;
179;index;DialogTableEntry;
"Please be aware that certain items are not suitable for use as synergy ingredients.≺Prompt≻
";text;DialogTableEntry;
180;index;DialogTableEntry;
"You currently have claim over the synergy furnace.
Please deposit your ingredients inside the furnace and initiate the synergy process.≺Prompt≻
";text;DialogTableEntry;
181;index;DialogTableEntry;
"The synergy furnace is currently in use by ≺Possible Special Code: 18≻≺Possible Special Code: 01≻.≺Prompt≻
";text;DialogTableEntry;
182;index;DialogTableEntry;
"The synergy furnace is currently in use by ≺Possible Special Code: 18≻≺Possible Special Code: 02≻.≺Prompt≻
";text;DialogTableEntry;
183;index;DialogTableEntry;
"The synergy furnace is currently in use by ≺Possible Special Code: 18≻≺Possible Special Code: 03≻.≺Prompt≻
";text;DialogTableEntry;
184;index;DialogTableEntry;
"The synergy furnace is currently in use by ≺Possible Special Code: 18≻≺Possible Special Code: 04≻.≺Prompt≻
";text;DialogTableEntry;
185;index;DialogTableEntry;
"The synergy furnace is currently in use by ≺Possible Special Code: 18≻≺Possible Special Code: 05≻.≺Prompt≻
";text;DialogTableEntry;
186;index;DialogTableEntry;
"≺Numeric Parameter 0≻ ≺Singular/Plural Choice (Parameter 1)≻[minute has/minutes have] elapsed.
Your claim over the synergy furnace has expired.≺Prompt≻
";text;DialogTableEntry;
187;index;DialogTableEntry;
"A member of your party already has claim over the synergy furnace.≺Possible Special Code: 00≻
";text;DialogTableEntry;
188;index;DialogTableEntry;
"Possession of ≺Possible Special Code: 01≻≺Possible Special Code: 05≻6≺BAD CHAR: 8280≻≺BAD CHAR: 80≻≺BAD CHAR: 80≻ is required to use a synergy furnace.≺Prompt≻
";text;DialogTableEntry;
189;index;DialogTableEntry;
"Unable to claim usage.
The synergy furnace is currently in use by ≺Possible Special Code: 18≻≺Possible Special Code: 01≻.≺Possible Special Code: 00≻
";text;DialogTableEntry;
190;index;DialogTableEntry;
"Unable to claim usage.
The synergy furnace is currently in use by ≺Possible Special Code: 18≻≺Possible Special Code: 02≻.≺Possible Special Code: 00≻
";text;DialogTableEntry;
191;index;DialogTableEntry;
"Unable to claim usage.
The synergy furnace is currently in use by ≺Possible Special Code: 18≻≺Possible Special Code: 03≻.≺Possible Special Code: 00≻
";text;DialogTableEntry;
192;index;DialogTableEntry;
"Unable to claim usage.
The synergy furnace is currently in use by ≺Possible Special Code: 18≻≺Possible Special Code: 04≻.≺Possible Special Code: 00≻
";text;DialogTableEntry;
193;index;DialogTableEntry;
"Unable to claim usage.
The synergy furnace is currently in use by ≺Possible Special Code: 18≻≺Possible Special Code: 05≻.≺Possible Special Code: 00≻
";text;DialogTableEntry;
194;index;DialogTableEntry;
"You have lost your eligibility to use the synergy furnace.
The claim holding party member has left the party or the area.≺Prompt≻
";text;DialogTableEntry;
195;index;DialogTableEntry;
"You have regained your eligibility to use the synergy furnace.≺Prompt≻
";text;DialogTableEntry;
196;index;DialogTableEntry;
"Unable to proceed.
Possession of ≺Possible Special Code: 01≻≺Possible Special Code: 05≻6≺BAD CHAR: 8280≻≺BAD CHAR: 80≻≺BAD CHAR: 80≻ is required to commence synergy.≺Prompt≻
";text;DialogTableEntry;
197;index;DialogTableEntry;
"Unable to proceed.
≺Unknown Parameter (Type: 80) 1≻≺Possible Special Code: 01≻≺Possible Special Code: 05≻%≺BAD CHAR: 8280≻≺BAD CHAR: 80≻≺BAD CHAR: 80≻ are not suitable for use as synergy ingredients.≺Prompt≻
";text;DialogTableEntry;
198;index;DialogTableEntry;
"A synergy recipe does not exist for that combination of materials.≺Prompt≻
";text;DialogTableEntry;
199;index;DialogTableEntry;
"That recipe is impossible at your synergy skill level.≺Prompt≻
";text;DialogTableEntry;
200;index;DialogTableEntry;
"That recipe is impossible at your ≺Multiple Choice (Parameter 0)≻[fishing/woodworking/smithing/goldsmithing/clothcraft/leathercraft/bonecraft/alchemy/cooking] skill level.≺Prompt≻
";text;DialogTableEntry;
201;index;DialogTableEntry;
"Element and target value:
≺Multiple Choice (Parameter 0)≻[≺BAD CHAR: EF≻≺Possible Special Code: 1F≻/≺Element: Ice≻/≺Element: Air≻/≺Element: Earth≻/≺Element: Thunder≻/≺Element: Water≻/≺Element: Light≻/≺Element: Dark≻]≺Numeric Parameter 1≻≺Possible Special Code: 00≻
";text;DialogTableEntry;
202;index;DialogTableEntry;
"Elements and target values:
≺Multiple Choice (Parameter 0)≻[≺BAD CHAR: EF≻≺Possible Special Code: 1F≻/≺Element: Ice≻/≺Element: Air≻/≺Element: Earth≻/≺Element: Thunder≻/≺Element: Water≻/≺Element: Light≻/≺Element: Dark≻]≺Numeric Parameter 1≻
≺Multiple Choice (Parameter 2)≻[≺BAD CHAR: EF≻≺Possible Special Code: 1F≻/≺Element: Ice≻/≺Element: Air≻/≺Element: Earth≻/≺Element: Thunder≻/≺Element: Water≻/≺Element: Light≻/≺Element: Dark≻]≺Numeric Parameter 3≻≺Possible Special Code: 00≻
";text;DialogTableEntry;
203;index;DialogTableEntry;
"Elements and target values:
≺Multiple Choice (Parameter 0)≻[≺BAD CHAR: EF≻≺Possible Special Code: 1F≻/≺Element: Ice≻/≺Element: Air≻/≺Element: Earth≻/≺Element: Thunder≻/≺Element: Water≻/≺Element: Light≻/≺Element: Dark≻]≺Numeric Parameter 1≻
≺Multiple Choice (Parameter 2)≻[≺BAD CHAR: EF≻≺Possible Special Code: 1F≻/≺Element: Ice≻/≺Element: Air≻/≺Element: Earth≻/≺Element: Thunder≻/≺Element: Water≻/≺Element: Light≻/≺Element: Dark≻]≺Numeric Parameter 3≻≺Possible Special Code: 00≻
";text;DialogTableEntry;
204;index;DialogTableEntry;
"≺Multiple Choice (Parameter 0)≻[≺BAD CHAR: EF≻≺Possible Special Code: 1F≻/≺Element: Ice≻/≺Element: Air≻/≺Element: Earth≻/≺Element: Thunder≻/≺Element: Water≻/≺Element: Light≻/≺Element: Dark≻]≺Numeric Parameter 1≻
≺Multiple Choice (Parameter 2)≻[≺BAD CHAR: EF≻≺Possible Special Code: 1F≻/≺Element: Ice≻/≺Element: Air≻/≺Element: Earth≻/≺Element: Thunder≻/≺Element: Water≻/≺Element: Light≻/≺Element: Dark≻]≺Numeric Parameter 3≻≺Possible Special Code: 00≻
";text;DialogTableEntry;
205;index;DialogTableEntry;
